vid_name,vid_name_long,vid_location,year,river,transect,location,frame_rate,total_frames,video_length,number_of_splits,rand_order,EDA,notes
2018_Sandy_Billabong_2018_Transect_2_Location_8,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 2_Location 8_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 2/Location 8/,2018,Sandy,Transect 2,Location 8,50,213983,71.32766667,18,0.928715738,yes,
2017_Mudginberri_Billabong_2017_Transect_3_Location_5,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 3_Location 5_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 3/Location 5/,2017,Mudginberri,Transect 3,Location 5,50,210892,70.29733333,18,0.922393661,yes,
2018_Mudginberri_Billabong_2018_Transect_2_Location_6,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 2_Location 6_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 2/Location 6/,2018,Mudginberri,Transect 2,Location 6,50,222017,74.00566667,19,0.921133214,yes,
2018_Sandy_Billabong_2018_Transect_3_Location_7,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 3_Location 7_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 3/Location 7/,2018,Sandy,Transect 3,Location 7,50,227033,75.67766667,19,0.920797445,yes,
2018_Mudginberri_Billabong_2018_Transect_3_Location_5,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Mudginberri Billabong 2018_Transect 3_Location 5_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Mudginberri Billabong 2018/Transect 3/Location 5/,2018,Mudginberri,Transect 3,Location 5,50,228582,76.194,20,0.918933576,yes,
2017_Mudginberri_Billabong_2017_Transect_6_Location_2,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 6_Location 2_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 6/Location 2/,2017,Mudginberri,Transect 6,Location 2,50,159300,53.1,14,0.918077966,yes,
2017_Sandy_Billabong_2017_Transect_3_Location_1,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 3_Location 1_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 3/Location 1/,2017,Sandy,Transect 3,Location 1,50,267555,89.185,23,0.916633822,yes,
2018_Sandy_Billabong_2018_Transect_5_Location_2,.._data_Kakadu_fish_surrounding_videos_fixed_2018_Sandy Billabong 2018_Transect 5_Location 2_,../data/Kakadu_fish/surrounding_videos_fixed/2018/Sandy Billabong 2018/Transect 5/Location 2/,2018,Sandy,Transect 5,Location 2,50,235905,78.635,20,0.909183912,yes,
2017_Sandy_Billabong_2017_Transect_2_Location_4,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Sandy Billabong 2017_Transect 2_Location 4_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Sandy Billabong 2017/Transect 2/Location 4/,2017,Sandy,Transect 2,Location 4,47.95204795,202970,70.54617014,18,0.908394669,yes,
2017_Mudginberri_Billabong_2017_Transect_2_Location_9,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 2_Location 9_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 2/Location 9/,2017,Mudginberri,Transect 2,Location 9,50,207978,69.326,18,0.906151189,no,
2016_Channels_2016_Sandy_Videos_Sandy_Transect_2_Location_6_Camera_17,.._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Sandy Videos_Sandy_Transect 2_Location 6 Camera 17_,../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Sandy Videos/Sandy/Transect 2/Location 6 Camera 17/,2016,Sandy,Transect 2,Location 6,50,256959,85.653,22,0.905699232,no,
2017_Mudginberri_Billabong_2017_Transect_2_Location_4,.._data_Kakadu_fish_surrounding_videos_fixed_2017_Mudginberri Billabong 2017_Transect 2_Location 4_,../data/Kakadu_fish/surrounding_videos_fixed/2017/Mudginberri Billabong 2017/Transect 2/Location 4/,2017,Mudginberri,Transect 2,Location 4,50,206222,68.74066667,18,0.902204587,no,
