"","...1","Video_name","Class","measure","value","vid_name_long","vid_location","year","river","transect","location","frame_rate","total_frames","video_length","number_of_splits","rand_order","EDA","notes","Mobility","Schooling","Schooling_3_groups","Mobility_3_groups","...6","...7","...8","value_tol"
"22",895,"2016_Channels_2016_Mudginberri_Videos_Transect_3_Location_9_Camera_9","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 3_Location 9 Camera 9_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 3/Location 9 Camera 9/","2016","Mudginberri","Transect 3","Location 9",50,232895,77.63166667,20,0.622209457,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"23",935,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_10_Camera_9","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 10 Camera 9_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 10 Camera 9/","2016","Mudginberri","Transect 4","Location 10",50,213343,71.11433333,18,0.650405662,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"24",975,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_1_Camera_8","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 1 Camera 8_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 1 Camera 8/","2016","Mudginberri","Transect 4","Location 1",50,233648,77.88266667,20,0.888724914,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"25",1015,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_2_Camera_1","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 2 Camera 1_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 2 Camera 1/","2016","Mudginberri","Transect 4","Location 2",50,229635,76.545,20,0.470718338,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"26",1055,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_3_Camera_3","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 3 Camera 3_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 3 Camera 3/","2016","Mudginberri","Transect 4","Location 3",50,226828,75.60933333,19,0.38479531,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"27",1095,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_4_Camera_6","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 4 Camera 6_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 4 Camera 6/","2016","Mudginberri","Transect 4","Location 4",50,228434,76.14466667,20,0.523883046,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"28",1135,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_5_Camera_10","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 5 Camera 10_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 5 Camera 10/","2016","Mudginberri","Transect 4","Location 5",50,230990,76.99666667,20,0.539397898,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"29",1175,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_6_Camera_4","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 6 Camera 4_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 6 Camera 4/","2016","Mudginberri","Transect 4","Location 6",50,207125,69.04166667,18,0.370533712,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"30",1215,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_7_Camera_7","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 7 Camera 7_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 7 Camera 7/","2016","Mudginberri","Transect 4","Location 7",50,211991,70.66366667,18,0.179853981,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
"31",1295,"2016_Channels_2016_Mudginberri_Videos_Transect_4_Location_9_Camera_5","Leiopotherapon unicolor","AvgN",0,".._data_Kakadu_fish_surrounding_videos_fixed_2016_Channels 2016 Mudginberri Videos_Transect 4_Location 9 Camera 5_","../data/Kakadu_fish/surrounding_videos_fixed/2016/Channels 2016 Mudginberri Videos/Transect 4/Location 9 Camera 5/","2016","Mudginberri","Transect 4","Location 9",50,204718,68.23933333,18,0.406240874,"no",NA,"high","high","medium","medium",NA,NA,NA,0.00446428571428569
